"02/04/2014 21:47:46","1427","Abby Kelley Foster Charter Sch.","10","Public School","Closed Wednesday","",""," ","."," ","Abby Kelley Foster Charter Sch.",
"02/04/2014 21:47:46","1001","Acton","10","Public School","Closed","",""," ","."," ","",
"02/04/2014 21:47:47","1002","Acton-Boxborough","10","Public School","Closed","",""," ","."," ","",
"02/04/2014 21:47:47","1191","Algonquin Regional High School","10","Public School","Closed","",""," ","."," ","Algonquin Regional High School",
"02/04/2014 21:47:47","1005","Amesbury","10","Public School","Closed","",""," ","."," ","",
"02/04/2014 21:47:47","1006","Amherst, NH","10","Public School","Closed","",""," ","."," ","Amherst, NH",
"02/04/2014 21:47:48","1010","Ashburnham-Westminster Regional","10","Public School","Closed","",""," ","."," ","Ashburnham-Westminster Regional",
"02/04/2014 21:47:48","2017","Assabet Valley Collaborative","10","Public School","Closed","",""," ","."," ","",
"02/04/2014 21:47:48","2232","Assabet Valley Reg. Voc. High School","10","Public School","Closed","",""," ","."," ","Assabet Valley Reg. Voc. High School",
"02/04/2014 21:47:48","1013","Athol-Royalston Regional District","10","Public School","Closed","",""," ","."," ","Athol-Royalston Regional District",
"02/04/2014 21:47:48","1014","Attleboro","10","Public School","Closed","",""," ","."," ","",
"02/04/2014 21:47:48","1015","Auburn","10","Public School","Closed","",""," ","."," ","Auburn",
"02/04/2014 21:47:49","1016","Avon","10","Public School","Closed","",""," ","."," ","",
"02/04/2014 21:47:49","1020","Bay Path Reg. Voc-Tech","10","Public School","Closed","",""," ","."," ","Bay Path Reg. Voc-Tech",
"02/04/2014 21:47:49","1022","Bedford, NH","10","Public School","Closed","",""," ","."," ","Bedford, NH",
"02/04/2014 21:47:49","1024","Belmont","10","Public School","Closed","",""," ","."," ","Belmont",
"02/04/2014 21:47:50","2589","Boroughs JCC Preschool","10","Public School","Closed","",""," ","."," ","",
"02/04/2014 21:47:50","1033","Boston","10","Public School","Closed","Offices open",""," ","."," ","Boston",
"02/04/2014 21:47:50","1208","Boston Renaissance Charter School","10","Public School","Closed","Wednesday",""," ","."," ","Boston Renaissance Charter School",
"02/04/2014 21:47:51","1036","Boxboro","10","Public School","Closed","",""," ","."," ","Boxboro",
"02/04/2014 21:47:51","1037","Boxford Elementary","10","Public School","Closed Wednesday","No afternoon activities",""," ","."," ","Boxford Elementary",
"02/04/2014 21:47:51","1039","Braintree","10","Public School","Closed","",""," ","."," ","Braintree",
"02/04/2014 21:47:51","2114","Bristol-Plymouth Reg. Tech.","10","Public School","Closed","",""," ","."," ","Bristol-Plymouth Reg. Tech.",
"02/04/2014 21:47:52","2106","Brockton","10","Public School","Closed","",""," ","."," ","Brockton",
"02/04/2014 21:47:52","1046","Brookline, NH","10","Public School","Closed","Wednesday",""," ","."," ","Brookline, NH",
"02/04/2014 21:47:52","1053","Chelsea","10","Public School","Closed Wednesday","",""," ","."," ","Chelsea",
"02/04/2014 21:47:53","1056","Clinton","10","Public School","Closed","Wednesday",""," ","."," ","Clinton",
"02/04/2014 21:47:53","1061","Danvers","10","Public School","Closed","",""," ","."," ","Danvers",
"02/04/2014 21:47:53","1062","Dedham","10","Public School","Closed","",""," ","."," ","Dedham",
"02/04/2014 21:47:54","1064","Dighton-Rehoboth Regional District","10","Public School","Closed","",""," ","."," ","Dighton-Rehoboth Regional District",
"02/04/2014 21:47:54","1065","Douglas","10","Public School","Closed","",""," ","."," ","Douglas",
"02/04/2014 21:47:54","1068","Dracut","10","Public School","Closed Wednesday","",""," ","."," ","Dracut",
"02/04/2014 21:47:54","1294","Dudley-Charlton Regional District","10","Public School","Closed","",""," ","."," ","Dudley-Charlton Regional District",
"02/04/2014 21:47:54","1070","East Bridgewater","10","Public School","Closed","",""," ","."," ","East Bridgewater",
"02/04/2014 21:47:55","1872","Essex Agricultural Technical","10","Public School","Closed","",""," ","."," ","Essex Agricultural Technical",
"02/04/2014 21:47:55","1076","Everett","10","Public School","Closed","",""," ","."," ","Everett",
"02/04/2014 21:47:55","2181","Foxborough Reg. Charter School","10","Public School","Closed","",""," ","."," ","Foxborough Reg. Charter School",
"02/04/2014 21:47:56","1088","Gardner","10","Public School","Closed","",""," ","."," ","Gardner",
"02/04/2014 21:47:56","1089","Georgetown","10","Public School","Closed","",""," ","."," ","Georgetown",
"02/04/2014 21:47:56","1091","Grafton","10","Public School","Closed","",""," ","."," ","Grafton",
"02/04/2014 21:47:57","1092","Greater Lowell Tech. High School","10","Public School","Closed","",""," ","."," ","Greater Lowell Tech. High School",
"02/04/2014 21:47:57","1097","Hampstead, NH","10","Public School","Wednesday","",""," ","."," ","Hampstead, NH",
"02/04/2014 21:47:57","1098","Hampton Falls, NH","10","Public School","Closed","",""," ","."," ","Hampton Falls, NH",
"02/04/2014 21:47:58","1102","Haverhill","10","Public School","Closed","",""," ","."," ","Haverhill",
"02/04/2014 21:47:58","1104","Hillsboro-Deering District","10","Public School","Closed","",""," ","."," ","Hillsboro-Deering District",
"02/04/2014 21:47:58","2574","Hillview Montessori School","10","Public School","Closed","",""," ","."," ","",
"02/04/2014 21:47:59","1106","Holbrook","10","Public School","Closed Wednesday","",""," ","."," ","Holbrook",
"02/04/2014 21:47:59","1108","Hollis, NH","10","Public School","Closed Wednesday","",""," ","."," ","Hollis, NH",
"02/04/2014 21:47:59","1110","Hopedale","10","Public School","Closed","",""," ","."," ","Hopedale",
"02/04/2014 21:47:59","1114","Hudson, NH","10","Public School","Closed","",""," ","."," ","Hudson, NH",
"02/04/2014 21:48:00","1117","Jaffrey-Rindge District NH","10","Public School","Closed","",""," ","."," ","Jaffrey-Rindge District, NH",
"02/04/2014 21:48:00","1126","Leicester","10","Public School","Closed Wednesday","",""," ","."," ","Leicester",
"02/04/2014 21:48:00","1127","Leominster","10","Public School","Closed","",""," ","."," ","Leominster",
"02/04/2014 21:48:01","1131","Litchfield, NH","10","Public School","Closed","",""," ","."," ","Litchfield, NH",
"02/04/2014 21:48:01","1133","Londonderry, NH","10","Public School","Closed Wednesday","",""," ","."," ","Londonderry, NH",
"02/04/2014 21:48:01","1134","Lowell","10","Public School","Closed","",""," ","."," ","Lowell",
"02/04/2014 21:48:02","1135","Lunenburg","10","Public School","Closed","Wednesday",""," ","."," ","Lunenburg",
"02/04/2014 21:48:02","1139","Malden","10","Public School","Closed","No Evening Activities",""," ","."," ","Malden",
"02/04/2014 21:48:02","1141","Mansfield","10","Public School","Closed","",""," ","."," ","Mansfield",
"02/04/2014 21:48:03","2116","Marshfield","10","Public School","Closed","",""," ","."," ","Marshfield",
"02/04/2014 21:48:03","1147","Mascenic School District","10","Public School","Closed","Wednesday",""," ","."," ","Mascenic Regional High School, NH",
"02/04/2014 21:48:04","1148","Masconomet Regional District","10","Public School","closed Wednesday","no afternoon or evening activities",""," ","."," ","Masconomet Regional District",
"02/04/2014 21:48:04","2364","Mason Elementary School, Mason NH","10","Public School","Closed Wednesday","",""," ","."," ","",
"02/04/2014 21:48:04","1157","Merrimack, NH","10","Public School","Closed","Wednesday",""," ","."," ","Merrimack, NH",
"02/04/2014 21:48:04","1160","Middleton Elementary School","10","Public School","Closed","no afternoon activities",""," ","."," ","Middleton Elementary School",
"02/04/2014 21:48:05","1161","Milford, MA","10","Public School","Closed","",""," ","."," ","Milford, MA",
"02/04/2014 21:48:05","1162","Milford, NH","10","Public School","Closed","",""," ","."," ","Milford, NH",
"02/04/2014 21:48:05","1163","Millbury Public Schools","10","Public School","Closed","",""," ","."," ","",
"02/04/2014 21:48:05","1165","Milton","10","Public School","Closed","",""," ","."," ","Milton",
"02/04/2014 21:48:05","1168","Mont Vernon, NH","10","Public School","Closed","",""," ","."," ","Mont Vernon, NH",
"02/04/2014 21:48:05","1167","Montachusett Reg. Voc-Tech","10","Public School","Closed","",""," ","."," ","Montachusett Reg. Voc-Tech",
"02/04/2014 21:48:05","1171","Narragansett Regional District","10","Public School","Closed Wednesday","",""," ","."," ","Narragansett Regional District",
"02/04/2014 21:48:05","1174","Nashua, NH","10","Public School","Closed","",""," ","."," ","Nashua, NH",
"02/04/2014 21:48:05","2104","North Andover","10","Public School","Closed","",""," ","."," ","North Andover",
"02/04/2014 21:48:05","1185","North Attleboro","10","Public School","Closed - Wednesday","",""," ","."," ","North Attleboro",
"02/04/2014 21:48:05","1549","North Central Charter Essential School","10","Public School","Closed","",""," ","."," ","North Central Charter Essential School",
"02/04/2014 21:48:06","1186","North Hampton, NH","10","Public School","Closed","",""," ","."," ","North Hampton, NH",
"02/04/2014 21:48:06","1189","North Shore Tech. H.S.","10","Public School","Closed","No Evening Classes",""," ","."," ","North Shore Tech. H.S.",
"02/04/2014 21:48:06","1190","Northboro Public Schools","10","Public School","Closed","",""," ","."," ","Northboro Public Schools",
"02/04/2014 21:48:06","1192","Northbridge","10","Public School","Closed","",""," ","."," ","Northbridge",
"02/04/2014 21:48:06","1067","Old Colony Regional Voc-Tech","10","Public School","Closed","Wednesday",""," ","."," ","Old Colony Regional Voc-Tech",
"02/04/2014 21:48:06","1066","Parker Charter School","10","Public School","Closed","",""," ","."," ","Parker Charter School",
"02/04/2014 21:48:06","1678","Peabody","10","Public School","Closed","",""," ","."," ","",
"02/04/2014 21:48:06","1201","Pelham, NH","10","Public School","Closed","",""," ","."," ","Pelham, NH",
"02/04/2014 21:48:06","1732","Pembroke, MA","10","Public School","Closed","",""," ","."," ","Pembroke, MA",
"02/04/2014 21:48:06","2613","Pentucket Regional School District","10","Public School","Closed","",""," ","."," ","",
"02/04/2014 21:48:06","2601","Petersham Center School","10","Public School","Closed","",""," ","."," ","",
"02/04/2014 21:48:06","2307","Pioneer Charter School of Science","10","Public School","Closed","",""," ","."," ","",
"02/04/2014 21:48:06","1206","Plymouth","10","Public School","Closed Wednesday","",""," ","."," ","Plymouth",
"02/04/2014 21:48:07","2034","Prospect Hill Academy Charter School","10","Public School","Closed","",""," ","."," ","",
"02/04/2014 21:48:07","2107","Quabbin Reg. School Dist.","10","Public School","Closed","",""," ","."," ","Quabbin Reg. School Dist.",
"02/04/2014 21:48:07","1210","Quaboag Reg. School Dist.","10","Public School","Closed Wednesday","",""," ","."," ","Quaboag Reg. School Dist.",
"02/04/2014 21:48:07","1212","Randolph","10","Public School","Closed","",""," ","."," ","Randolph",
"02/04/2014 21:48:07","1216","Revere","10","Public School","Closed","",""," ","."," ","Revere",
"02/04/2014 21:48:07","1851","Rising Tide Charter School","10","Public School","Closed","",""," ","."," ","",
"02/04/2014 21:48:07","1222","Salem, MA","10","Public School","Closed","",""," ","."," ","Salem, MA",
"02/04/2014 21:48:07","2126","Sanborn Regional District, NH","10","Public School","Closed","",""," ","."," ","Sanborn Regional District, NH",
"02/04/2014 21:48:07","1226","Saugus","10","Public School","Closed","",""," ","."," ","Saugus",
"02/04/2014 21:48:07","1227","Raymond, NH","10","Public School","Closed","Wednesday",""," ","."," ","Raymond, NH",
"02/04/2014 21:48:07","1228","Scituate Public Schools","10","Public School","Closed","",""," ","."," ","Scituate Public Schools",
"02/04/2014 21:48:07","1229","Seabrook, NH","10","Public School","Closed","",""," ","."," ","Seabrook, NH",
"02/04/2014 21:48:07","1077","Seacoast School of Technology","10","Public School","All SAU 16 Schools Closed Wednesday","",""," ","."," ","Seacoast School of Technology",
"02/04/2014 21:48:07","1525","Seven Hills Charter School","10","Public School","Closed on Wednesday","",""," ","."," ","Seven Hills Charter School",
"02/04/2014 21:48:07","1234","Shrewsbury","10","Public School","Closed","",""," ","."," ","Shrewsbury",
"02/04/2014 21:48:07","1235","Silver Lake Regional District","10","Public School","Closed","",""," ","."," ","Silver Lake Regional District",
"02/04/2014 21:48:07","2588","Somerset Berkley Regional","10","Public School","Closed","",""," ","."," ","",
"02/04/2014 21:48:07","1552","Somerset","10","Public School","Closed","",""," ","."," ","Somerset",
"02/04/2014 21:48:07","1236","Somerville","10","Public School","Closed","All Schools will be closed Wednesday, Feb. 5",""," ","."," ","Somerville",
"02/04/2014 21:48:07","2253","Souhegan Cooperative School Dist","10","Public School","Closed","",""," ","."," ","",
"02/04/2014 21:48:07","1237","South Hampton, NH","10","Public School","Closed","",""," ","."," ","South Hampton, NH",
"02/04/2014 21:48:07","1239","Southboro Public Schools","10","Public School","Closed","",""," ","."," ","Southboro Public Schools",
"02/04/2014 21:48:07","1242","Southbridge","10","Public School","Closed","",""," ","."," ","Southbridge",
"02/04/2014 21:48:07","1240","Southeastern Voc-Tech","10","Public School","Closed","",""," ","."," ","Southeastern Voc-Tech",
"02/04/2014 21:48:07","1963","S. Worcester County Education","10","Public School","Closed","",""," ","."," ","",
"02/04/2014 21:48:07","1245","Stoughton","10","Public School","Closed","",""," ","."," ","Stoughton",
"02/04/2014 21:48:07","1248","Sutton","10","Public School","Closed","",""," ","."," ","Sutton",
"02/04/2014 21:48:07","1250","Tantasqua-Union 61","10","Public School","Closed Wednesday","",""," ","."," ","Tantasqua-Union 61",
"02/04/2014 21:48:07","1251","Taunton","10","Public School","Closed Wednesday","All after school activities cancelled",""," ","."," ","Taunton",
"02/04/2014 21:48:07","1252","Tewksbury","10","Public School","Closed","",""," ","."," ","Tewksbury",
"02/04/2014 21:48:07","2259","Thompson Public Schools","10","Public School","Closed","",""," ","."," ","",
"02/04/2014 21:48:07","1253","Timberlane, NH","10","Public School","Wednesday","",""," ","."," ","Timberlane, NH",
"02/04/2014 21:48:07","1254","Topsfield Elementary","10","Public School","Closed Wednesday","No afternoon activities",""," ","."," ","Topsfield Elementary",
"02/04/2014 21:48:07","1256","Triton Regional District, K-12","10","Public School","Closed","Except for Essential Personnel",""," ","."," ","Triton Regional District, K-12",
"02/04/2014 21:48:07","1259","Uxbridge","10","Public School","Closed","",""," ","."," ","Uxbridge",
"02/04/2014 21:48:07","1260","Wachusett Reg. Sch. Dist.","10","Public School","Closed","Wednesday",""," ","."," ","Wachusett Reg. Sch. Dist.",
"02/04/2014 21:48:07","1262","Walpole","10","Public School","Closed","",""," ","."," ","Walpole",
"02/04/2014 21:48:07","1265","Washington-Windsor NH School District","10","Public School","Closed","",""," ","."," ","Washington-Windsor",
"02/04/2014 21:48:07","1269","Webster","10","Public School","Closed","",""," ","."," ","Webster",
"02/04/2014 21:48:07","1272","West Boylston","10","Public School","Closed","",""," ","."," ","West Boylston",
"02/04/2014 21:48:07","1273","West Bridgewater","10","Public School","Closed","",""," ","."," ","West Bridgewater",
"02/04/2014 21:48:08","1277","Weston","10","Public School","Closed","",""," ","."," ","Weston",
"02/04/2014 21:48:08","1281","Whitman-Hanson Regional","10","Public School","Closed","",""," ","."," ","Whitman-Hanson Regional",
"02/04/2014 21:48:08","1282","Whittier Vocational Technical","10","Public School","Closed","No Evening Classes",""," ","."," ","Whittier Vocational Technical",
"02/04/2014 21:48:08","1285","Winchendon","10","Public School","Closed & No Evening Events","Wednesday",""," ","."," ","Winchendon",
"02/04/2014 21:48:08","1287","Windham, NH","10","Public School","Closed","",""," ","."," ","Windham, NH",
"02/04/2014 21:48:08","1288","Winnacunnet, NH","10","Public School","Closed","",""," ","."," ","Winnacunnet, NH",
"02/04/2014 21:48:08","1673","WLC School District","10","Public School","Closed","",""," ","."," ","",
"02/04/2014 21:48:08","1291","Worcester","10","Public School","Closed","",""," ","."," ","Worcester",
"02/04/2014 21:48:08","1790","Academy of Notre Dame, Tyngsboro","20","Private School","Closed","",""," ","."," ","Academy of Notre Dame, Tyngsboro",
"02/04/2014 21:48:08","1867","Al Hamra Academy, Shrewsbury","20","Private School","Closed","Closed Wednesday",""," ","."," ","",
"02/04/2014 21:48:08","1177","Alhuda Academy, Worcester","20","Private School","Alhuda Academy and Alhuda daycare will be closed Wednesday","",""," ","."," ","",
"02/04/2014 21:48:08","1794","Andover Newton Theological","20","Private School","Closed","",""," ","."," ","Andover Newton Theological",
"02/04/2014 21:48:08","1795","Applewild School","20","Private School","Closed","",""," ","."," ","Applewild School",
"02/04/2014 21:48:08","1796","Archbishop Williams School","20","Private School","Closed","",""," ","."," ","Archbishop Williams School",
"02/04/2014 21:48:08","1994","Arlington Catholic High School","20","Private School","Closed","",""," ","."," ","Arlington Catholic High School",
"02/04/2014 21:48:08","1798","Armenian Sister Academy, Lexington","20","Private School","Closed","",""," ","."," ","Armenian Sister Academy, Lexington",
"02/04/2014 21:48:08","1800","Bancroft School, Worcester","20","Private School","Closed","",""," ","."," ","Bancroft School, Worcester",
"02/04/2014 21:48:08","1806","Berea Seventh Day Adventist","20","Private School","Closed","Wednesday",""," ","."," ","Berea Seventh Day Adventist",
"02/04/2014 21:48:08","1809","Bishop Feehan High School","20","Private School","Closed","",""," ","."," ","Bishop Feehan High School",
"02/04/2014 21:48:08","1810","Bishop Fenwick","20","Private School","Closed","",""," ","."," ","Bishop Fenwick",
"02/04/2014 21:48:08","2058","Blue Hill Montessori","20","Private School","Closed","",""," ","."," ","",
"02/04/2014 21:48:08","1813","Boston College High School","20","Private School","Closed","",""," ","."," ","Boston College High School",
"02/04/2014 21:48:08","1780","Boxford Academy","20","Private School","Closed","",""," ","."," ","",
"02/04/2014 21:48:08","2156","Browning Elementary","20","Private School","Closed","No AM pre-school",""," ","."," ","Browning Elementary",
"02/04/2014 21:48:08","2624","Calvary Chapel Academy Rockland","20","Private School","Closed","",""," ","."," ","",
